entity,latitude,longitude,decimal_degrees,degrees_minutes_seconds,degrees_decimal_minutes
sri lanka,7.87,80.77,7.873° N 80.772° E,"7° 52' 23"" N 80° 46' 18"" E",7° 52.38' N 80° 46.32' E
sudan,12.86,30.22,12.863° N 30.218° E,"12° 51' 46"" N 30° 13' 3"" E",12° 51.78' N 30° 13.08' E
suriname,3.92,-56.03,3.919° N 56.028° W,"3° 55' 9"" N 56° 1' 40"" W",3° 55.14' N 56° 1.68' W
svalbard and jan mayen,77.55,23.67,77.554° N 23.67° E,"77° 33' 13"" N 23° 40' 13"" E",77° 33.24' N 23° 40.2' E
swaziland,-26.52,31.47,26.523° S 31.466° E,"26° 31' 21"" S 31° 27' 57"" E",26° 31.38' S 31° 27.96' E
sweden,60.13,18.64,60.128° N 18.644° E,"60° 7' 41"" N 18° 38' 37"" E",60° 7.68' N 18° 38.64' E
switzerland,46.82,8.23,46.818° N 8.228° E,"46° 49' 5"" N 8° 13' 39"" E",46° 49.08' N 8° 13.68' E
syria,34.8,39,34.802° N 38.997° E,"34° 48' 7"" N 38° 59' 49"" E",34° 48.12' N 38° 59.82' E
taiwan,23.7,120.96,23.698° N 120.961° E,"23° 41' 52"" N 120° 57' 38"" E",23° 41.88' N 120° 57.66' E
tajikistan,38.86,71.28,38.861° N 71.276° E,"38° 51' 40"" N 71° 16' 34"" E",38° 51.66' N 71° 16.56' E
tanzania,-6.37,34.89,6.369° S 34.889° E,"6° 22' 9"" S 34° 53' 20"" E",6° 22.14' S 34° 53.34' E
thailand,15.87,100.99,15.87° N 100.993° E,"15° 52' 12"" N 100° 59' 33"" E",15° 52.2' N 100° 59.58' E
the bahamas,25.03,-77.4,25.034° N 77.396° W,"25° 2' 3"" N 77° 23' 47"" W",25° 2.04' N 77° 23.76' W
timor-leste,-8.87,125.73,8.874° S 125.728° E,"8° 52' 27"" S 125° 43' 39"" E",8° 52.44' S 125° 43.68' E
togo,8.62,0.82,8.62° N 0.825° E,"8° 37' 10"" N 0° 49' 29"" E",8° 37.2' N 0° 49.5' E
tokelau,-8.97,-171.86,8.967° S 171.856° W,"8° 58' 3"" S 171° 51' 21"" W",8° 58.02' S 171° 51.36' W
tonga,-21.18,-175.2,21.179° S 175.198° W,"21° 10' 44"" S 175° 11' 54"" W",21° 10.74' S 175° 11.88' W
trinidad and tobago,10.69,-61.22,10.692° N 61.223° W,"10° 41' 30"" N 61° 13' 21"" W",10° 41.52' N 61° 13.38' W
tunisia,33.89,9.54,33.887° N 9.537° E,"33° 53' 13"" N 9° 32' 15"" E",33° 53.22' N 9° 32.22' E
turkey,38.96,35.24,38.964° N 35.243° E,"38° 57' 49"" N 35° 14' 36"" E",38° 57.84' N 35° 14.58' E
turkmenistan,38.97,59.56,38.97° N 59.556° E,"38° 58' 11"" N 59° 33' 23"" E",38° 58.2' N 59° 33.36' E
turks and caicos islands,21.69,-71.8,21.694° N 71.798° W,"21° 41' 38"" N 71° 47' 53"" W",21° 41.64' N 71° 47.88' W
tuvalu,-7.11,177.65,7.11° S 177.649° E,"7° 6' 34"" S 177° 38' 58"" E",7° 6.6' S 177° 38.94' E
uganda,1.37,32.29,1.373° N 32.29° E,"1° 22' 24"" N 32° 17' 25"" E",1° 22.38' N 32° 17.4' E
ukraine,48.38,31.17,48.379° N 31.166° E,"48° 22' 46"" N 31° 9' 56"" E",48° 22.74' N 31° 9.96' E
united arab emirates,23.42,53.85,23.424° N 53.848° E,"23° 25' 27"" N 53° 50' 52"" E",23° 25.44' N 53° 50.88' E
united kingdom,55.38,-3.44,55.378° N 3.436° W,"55° 22' 41"" N 3° 26' 10"" W",55° 22.68' N 3° 26.16' W
united states,37.09,-95.71,37.09° N 95.713° W,"37° 5' 25"" N 95° 42' 46"" W",37° 5.4' N 95° 42.78' W
uruguay,-32.52,-55.77,32.523° S 55.766° W,"32° 31' 22"" S 55° 45' 57"" W",32° 31.38' S 55° 45.96' W
united states virgin islands,18.34,-64.9,18.336° N 64.896° W,"18° 20' 9"" N 64° 53' 47"" W",18° 20.16' N 64° 53.76' W
uzbekistan,41.38,64.59,41.377° N 64.585° E,"41° 22' 39"" N 64° 35' 7"" E",41° 22.62' N 64° 35.1' E
vanuatu,-15.38,166.96,15.377° S 166.959° E,"15° 22' 36"" S 166° 57' 33"" E",15° 22.62' S 166° 57.54' E
vatican city,41.9,12.45,41.903° N 12.453° E,"41° 54' 10"" N 12° 27' 12"" E",41° 54.18' N 12° 27.18' E
venezuela,6.42,-66.59,6.424° N 66.59° W,"6° 25' 26"" N 66° 35' 23"" W",6° 25.44' N 66° 35.4' W
vietnam,14.06,108.28,14.058° N 108.277° E,"14° 3' 30"" N 108° 16' 38"" E",14° 3.48' N 108° 16.62' E
wallis and futuna,-13.77,-177.16,13.769° S 177.156° W,"13° 46' 8"" S 177° 9' 22"" W",13° 46.14' S 177° 9.36' W
western sahara,24.22,-12.89,24.216° N 12.886° W,"24° 12' 56"" N 12° 53' 9"" W",24° 12.96' N 12° 53.16' W
world,0.0,0.0,,,
yemen,15.55,48.52,15.553° N 48.516° E,"15° 33' 10"" N 48° 30' 59"" E",15° 33.18' N 48° 30.96' E
zambia,-13.13,27.85,13.134° S 27.849° E,"13° 8' 2"" S 27° 50' 58"" E",13° 8.04' S 27° 50.94' E
zimbabwe,-19.02,29.15,19.015° S 29.155° E,"19° 0' 56"" S 29° 9' 17"" E",19° 0.9' S 29° 9.3' E
